player_name,span,matches,innings,balls,overs,maidens,runs,wickets,best_figures,average,economy,strike_rate,four_wickets,five_wickets,team_id,team_name
"MJ Henry",2025-2025,4,4,188,31.20,1,167,10,5/42,16.70,5.32,18.80,0,1,103,"New Zealand"
"CV Varun",2025-2025,3,3,180,30.00,0,136,9,5/42,15.11,4.53,20.00,0,1,101,India
"Mohammed Shami",2025-2025,5,5,246,41.00,0,233,9,5/53,25.88,5.68,27.33,0,1,101,India
"MJ Santner",2025-2025,5,5,300,50.00,2,240,9,3/43,26.66,4.80,33.33,0,0,103,"New Zealand"
"MG Bracewell",2025-2025,5,5,294,49.00,2,201,8,4/26,25.12,4.10,36.75,1,0,103,"New Zealand"
"Azmatullah Omarzai",2025-2025,3,3,125,20.50,0,140,7,5/58,20.00,6.72,17.85,0,1,105,Afghanistan
"BJ Dwarshuis",2025-2025,3,3,156,26.00,0,152,7,3/47,21.71,5.84,22.28,0,0,104,Australia
"Kuldeep Yadav",2025-2025,5,5,279,46.30,0,223,7,3/40,31.85,4.79,39.85,0,0,101,India
"PWA Mulder",2025-2025,3,3,134,22.20,0,109,6,3/25,18.16,4.88,22.33,0,0,102,"South Africa"
"K Rabada",2025-2025,3,3,153,25.30,3,148,6,3/36,24.66,5.80,25.50,0,0,102,"South Africa"
"L Ngidi",2025-2025,3,3,150,25.00,0,161,6,3/72,26.83,6.44,25.00,0,0,102,"South Africa"
"A Zampa",2025-2025,3,3,168,28.00,0,172,6,2/48,28.66,6.14,28.00,0,0,104,Australia
"JC Archer",2025-2025,3,3,174,29.00,0,201,6,3/64,33.50,6.93,29.00,0,0,106,England
"W O'Rourke",2025-2025,5,5,258,43.00,1,267,6,3/47,44.50,6.20,43.00,0,0,103,"New Zealand"
"RA Jadeja",2025-2025,5,5,252,42.00,1,183,5,2/40,36.60,4.35,50.40,0,0,101,India
"AR Patel",2025-2025,5,5,270,45.00,2,196,5,2/43,39.20,4.35,54.00,0,0,101,India
"Harshit Rana",2025-2025,2,2,92,15.20,0,61,4,3/31,15.25,3.97,23.00,0,0,101,India
"Mohammad Nabi",2025-2025,3,3,126,21.00,0,121,4,2/51,30.25,5.76,31.50,0,0,105,Afghanistan
"HH Pandya",2025-2025,5,5,147,24.30,0,143,4,2/31,35.75,5.83,36.75,0,0,101,India
"M Jansen",2025-2025,3,3,150,25.00,1,150,4,3/39,37.50,6.00,37.50,0,0,102,"South Africa"
"Rishad Hossain",2025-2025,2,2,115,19.10,0,96,3,2/38,32.00,5.00,38.33,0,0,107,Bangladesh
"R Ravindra",2025-2025,4,3,126,21.00,1,98,3,1/20,32.66,4.66,42.00,0,0,103,"New Zealand"
"LS Livingstone",2025-2025,3,3,91,15.10,0,99,3,2/28,33.00,6.52,30.33,0,0,106,England
"AU Rashid",2025-2025,3,3,162,27.00,1,144,3,1/37,48.00,5.33,54.00,0,0,106,England
"KA Maharaj",2025-2025,3,3,180,30.00,1,146,3,2/35,48.66,4.86,60.00,0,0,102,"South Africa"
"NT Ellis",2025-2025,3,3,180,30.00,0,160,3,2/49,53.33,5.33,60.00,0,0,104,Australia
