match_id,match_date,team1_id,team2_id,venue_id,winner_team_id,win_margin
1,2025-02-19,103,108,901,103,"60 runs"
2,2025-02-20,107,101,904,101,"6 wickets"
3,2025-02-21,102,105,901,102,"107 runs"
4,2025-02-22,106,104,902,104,"5 wickets"
5,2025-02-23,108,101,904,101,"6 wickets"
6,2025-02-24,107,103,903,103,"5 wickets"
7,2025-02-25,104,102,903,NULL,NULL
8,2025-02-26,105,106,902,105,"8 runs"
9,2025-02-27,108,107,903,NULL,NULL
10,2025-02-28,105,104,902,NULL,NULL
11,2025-03-01,106,102,901,102,"7 wickets"
12,2025-03-02,101,103,904,101,"44 runs"
13,2025-03-04,104,101,904,101,"4 wickets"
14,2025-03-05,103,102,902,103,"50 runs"
15,2025-03-09,103,101,904,101,"4 wickets"
