player_name,team_id,team_name
"MJ Henry",103,"New Zealand"
"CV Varun",101,India
"Mohammed Shami",101,India
"MJ Santner",103,"New Zealand"
"MG Bracewell",103,"New Zealand"
"Azmatullah Omarzai",105,Afghanistan
"BJ Dwarshuis",104,Australia
"Kuldeep Yadav",101,India
"PWA Mulder",102,"South Africa"
"K Rabada",102,"South Africa"
"L Ngidi",102,"South Africa"
"A Zampa",104,Australia
"JC Archer",106,England
"W O Rourke",103,"New Zealand"
"RA Jadeja",101,India
"AR Patel",101,India
"Harshit Rana",101,India
"Mohammad Nabi",105,Afghanistan
"HH Pandya",101,India
"M Jansen",102,"South Africa"
"Rishad Hossain",107,Bangladesh
"R Ravindra",103,"New Zealand"
"LS Livingstone",106,England
"AU Rashid",106,England
"KA Maharaj",102,"South Africa"
"NT Ellis",104,Australia
"KA Jamieson",103,"New Zealand"
"M Labuschagne",104,Australia
"Taskin Ahmed",107,Bangladesh
"Abrar Ahmed",108,Pakistan
"Naseem Shah",108,Pakistan
"SH Johnson",104,Australia
"Mustafizur Rahman",107,Bangladesh
"GJ Maxwell",104,Australia
"GD Phillips",103,"New Zealand"
"Haris Rauf",108,Pakistan
"Shaheen Shah Afridi",108,Pakistan
"Fazalhaq Farooqi",105,Afghanistan
"C Connolly",104,Australia
"NG Smith",103,"New Zealand"
"Nahid Rana",107,Bangladesh
"Gulbadin Naib",105,Afghanistan
"BA Carse",106,England
"Khushdil Shah",108,Pakistan
"J Overton",106,England
"Rashid Khan",105,Afghanistan
"MA Wood",106,England
"Noor Ahmad",105,Afghanistan
"SS Iyer",101,India
"BM Duckett",106,England
"JE Root",106,England
"V Kohli",101,India
"Ibrahim Zadran",105,Afghanistan
"TWM Latham",103,"New Zealand"
"KS Williamson",103,"New Zealand"
"HE van der Dussen",102,"South Africa"
"Shubman Gill",101,India
"RG Sharma",101,India
"WA Young",103,"New Zealand"
"RD Rickelton",102,"South Africa"
"KL Rahul",101,India
"DJ Mitchell",103,"New Zealand"
"JP Inglis",104,Australia
"AT Carey",104,Australia
"DA Miller",102,"South Africa"
"T Bavuma",102,"South Africa"
"Jaker Ali",107,Bangladesh
"Towhid Hridoy",107,Bangladesh
"Rahmat Shah",105,Afghanistan
"Sediqullah Atal",105,Afghanistan
"TM Head",104,Australia
"SPD Smith",104,Australia
"Babar Azam",108,Pakistan
"AK Markram",102,"South Africa"
"MW Short",104,Australia
"JC Buttler",106,England
"Najmul Hossain Shanto",107,Bangladesh
"Saud Shakeel",108,Pakistan
"H Klaasen",102,"South Africa"
"Agha Salman",108,Pakistan
"Hashmatullah Shahidi",105,Afghanistan
"Mohammad Rizwan",108,Pakistan
"Tanzid Hasan",107,Bangladesh
"HC Brook",106,England
"DP Conway",103,"New Zealand"
"PD Salt",106,England
"Fakhar Zaman",108,Pakistan
"JL Smith",106,England
"Mehidy Hasan Miraz",107,Bangladesh
"Rahmanullah Gurbaz",105,Afghanistan
"T de Zorzi",102,"South Africa"
Imam-ul-Haq,108,Pakistan
"S Mahmood",106,England
"Tayyab Tahir",108,Pakistan
Mahmudullah,107,Bangladesh
"Mushfiqur Rahim",107,Bangladesh
"T Sangha",104,Australia
"Soumya Sarkar",107,Bangladesh
"T Stubbs",102,"South Africa"
"Tanzim Hasan Sakib",107,Bangladesh
